cty,bii_crop,n_crop,bii_urban,n_urban,bii_past,n_past,bii_plant,n_plant,bii_natural_combined,n_natural,natfor,other,bii_natfor,bii_other,natfor_capped
PAK,0.5529399269050785,1826586,0.2782916510057208,33580,0.6675462938715145,353354,0.5277124887945221,243505,0.7569280768811509,2636889,2989.728,37964.684,0.8342642598488235,0.7508378338639411,False
PAN,0.6378459850812414,41242,0.2797507267459,1907,0.6349911306268214,94843,0.6530725420467736,36434,0.823454971657175,197050,4559.1,610.018,0.8332887799581759,0.7499599019623583,False
PER,0.6547098701431217,458306,0.3355265880493303,19694,0.6830968006597611,1133753,0.6598790191664363,58152,0.8984839993004965,4949841,68190.976,34544.199,0.929746261597847,0.8367716354380623,False
PHL,0.5655591783026858,240052,0.2955979824019326,24816,0.6156791493077417,77155,0.5978916152841676,620483,0.758916149485621,510907,6695.354,9865.16,0.8069887718222848,0.7262898946400563,False
PNG,0.7316248862761272,58757,0.4118787442374826,958,0.6912805332113395,31602,0.7353804979239194,142356,0.910199573794102,2096385,33989.23,9837.04,0.9310985778719519,0.8379887200847568,False
POL,0.5508082216470354,1516284,0.3651923647712592,172278,0.5815783903943539,218655,0.5559242337429325,28303,0.5941578843942338,615519,2083.46,6419.94,0.6426792044779175,0.5784112840301258,False
PRK,0.5594933542994664,313131,0.3202937453555234,11367,0.6344214831061324,3234,0.5450603143168572,3499,0.6830135753907265,467118,6139.172,1762.494,0.6985960014380764,0.6287364012942688,False
PRT,0.6239170101643765,169643,0.3341547873385099,23043,0.6679902960887417,128948,0.6083484264068375,125809,0.6223455532525217,145848,865.608,524.0,0.6467328639703996,0.5820595775733597,False
PRY,0.6582707702716826,315428,0.3473401276841474,6525,0.7106813378684725,1105765,0.6565970108062561,58790,0.8235237984071168,703036,14846.188,3613.1289,0.8399648249104728,0.7559683424194255,False
PSE,0.523174032832906,11685,0.3173152409403062,3280,0.5651662239238163,6784,0.5139978593483334,3649,0.5742244653391951,8834,9.76,193.4,0.6346395516174023,0.5711755964556621,False
RAP,0.5866119933539199,22937,0.2841492614797374,20271,0.6319682164891286,91756,0.5521998631552887,4738,0.7905691246918842,2121339,313.93,38615.4894,0.8776237797195643,0.7898614017476079,False
ROU,0.5790993130135149,828597,0.4002207602567948,75225,0.6234488992436368,283755,0.597575794171538,99101,0.6576485928651912,425885,6083.322,2994.334,0.6800816027283539,0.6120734424555185,False
RUS,0.6687362136767211,15152739,0.4027311363322679,475677,0.6843173313020209,5642550,0.6216623275220439,618879,0.926974634996827,157444495,808613.87,592921.254,0.967922731845295,0.8711304586607655,False
RWA,0.5225968249052386,69291,0.2793268743097417,1143,0.5855496886068404,21605,0.5497451428607455,16690,0.6916058115270983,13501,211.12,0.0,0.6916058115270983,0.6224452303743885,False
SAU,0.620801557214177,254814,0.3052903565756837,35340,0.6637634047928126,382139,0.5834841304020756,3307,0.8479903797162772,9919238,2699.96,38562.033,0.935410624733325,0.8418695622599925,False
SDN,0.63825232170549,1145233,0.3501551418116226,15416,0.6918128205284061,1756504,0.7136230971889845,248952,0.8665691874463698,6619050,22546.71,51458.04,0.9313275877715546,0.8381948289943991,False
SEN,0.6252444065596509,156797,0.3201971517568788,2979,0.6446199188506061,433575,0.6584950381004416,78126,0.7178743134723157,353031,8669.376,1030.52,0.7255829293206039,0.6530246363885435,False
SLB,0.78038791500296,2878,0.631392967133295,84,0.6195518106158878,471,0.769354924746895,6285,0.9175366748955074,118228,2491.626,173.234,0.9235403142158797,0.8311862827942917,False
SLE,0.6151060720732758,59918,0.322570116015447,1712,0.6568119334402628,89631,0.6118161047847073,74829,0.6554807019678198,145507,2493.19,753.826,0.6710600055418581,0.6039540049876723,False
SLV,0.552814237673137,37817,0.2731165666277393,2118,0.5809031887912521,36914,0.5583856823499751,14916,0.588370796941304,14320,672.736,194.804,0.601886000911326,0.5416974008201935,False
SOM,0.659187975691846,149290,0.4788853443181353,2873,0.7043746270224062,1940703,0.7141139426670305,3471,0.7664370578781317,1127543,5129.55,13472.45,0.8262801848330507,0.7436521663497456,False
SPP,0.6060926440639832,1528552,0.332958462408806,61047,0.646598512079827,553634,0.6049979475995297,426317,0.6458246323431213,766363,16206.362,4732.674,0.6607592165543873,0.5946832948989486,False
SSD,0.6830816359678492,234954,0.3603556656139962,470,0.7113826453972102,1079305,0.6945237452552323,175665,0.8263090027584012,1750844,0.0,0.0,0.8263090027584012,0.8263090027584012,False
SVK,0.5567204307322359,169327,0.3891943105075198,21283,0.5858530164560547,36298,0.5790312523262517,10739,0.6179322657461372,134695,1159.842,996.926,0.6478792838263318,0.5830913554436986,False
SVN,0.5735186981381312,37572,0.3585966415747383,3380,0.595820076093629,17570,0.5726413555814556,8569,0.6202767903529621,76965,1178.318,154.586,0.6275549749299854,0.5647994774369869,False
SWE,0.6445144197402028,1004663,0.3189771015674484,19639,0.6322507968286507,29358,0.587552377054969,1245,0.7661495706980441,3676115,19451.8,9663.0,0.7924504510350254,0.7132054059315229,False
SWZ,0.5936355969287204,24129,0.3777147839865545,274,0.6110242992914654,52864,0.6002051226965037,4462,0.6144362170673591,17039,293.86,85.93,0.6286600669725572,0.5657940602753014,False
